f, module, argument
3.315282342319424913e+01,9.999999999999998890e-01,-2.530219371698336772e-01
3.345989120549972995e+01,9.999999999999998890e-01,-2.553654669525308729e-01
3.376980310825091181e+01,9.999999999999998890e-01,-2.577307027390629002e-01
3.408258547423452001e+01,9.999999999999998890e-01,-2.601178455685081436e-01
3.439826489022924250e+01,1.000000000000000000e+00,-2.625270983418375170e-01
3.471686818926561102e+01,1.000000000000000000e+00,-2.649586658391543392e-01
3.503842245290673674e+01,9.999999999999998890e-01,-2.674127547370937497e-01
3.536295501355042603e+01,9.999999999999998890e-01,-2.698895736263849932e-01
3.569049345675229290e+01,9.999999999999997780e-01,-2.723893330295735216e-01
3.602106562357069919e+01,9.999999999999998890e-01,-2.749122454189097953e-01
3.635469961293319585e+01,9.999999999999998890e-01,-2.774585252344015651e-01
3.669142378402494131e+01,1.000000000000000000e+00,-2.800283889020337424e-01
3.703126675869926743e+01,1.000000000000000000e+00,-2.826220548521579667e-01
3.737425742391064176e+01,1.000000000000000222e+00,-2.852397435380508717e-01
3.772042493416997644e+01,1.000000000000000000e+00,-2.878816774546448243e-01
3.806979871402285909e+01,9.999999999999998890e-01,-2.905480811574319144e-01
3.842240846055060643e+01,1.000000000000000000e+00,-2.932391812815424159e-01
3.877828414589457395e+01,1.000000000000000222e+00,-2.959552065610004945e-01
3.913745601980384237e+01,9.999999999999998890e-01,-2.986963878481578294e-01
3.949995461220643023e+01,1.000000000000000000e+00,-3.014629581333065356e-01
3.986581073580440915e+01,1.000000000000000000e+00,-3.042551525644743848e-01
4.023505548869292880e+01,9.999999999999998890e-01,-3.070732084674021589e-01
4.060772025700365617e+01,1.000000000000000000e+00,-3.099173653657065763e-01
4.098383671757261482e+01,9.999999999999997780e-01,-3.127878650012303474e-01
4.136343684063273685e+01,9.999999999999997780e-01,-3.156849513545784691e-01
4.174655289253136914e+01,9.999999999999998890e-01,-3.186088706658471992e-01
4.213321743847289014e+01,1.000000000000000000e+00,-3.215598714555414905e-01
4.252346334528682092e+01,9.999999999999998890e-01,-3.245382045456895459e-01
4.291732378422157268e+01,1.000000000000000000e+00,-3.275441230811501070e-01
4.331483223376398684e+01,9.999999999999998890e-01,-3.305778825511179186e-01
4.371602248248504452e+01,9.999999999999998890e-01,-3.336397408108275342e-01
4.412092863191190162e+01,9.999999999999997780e-01,-3.367299581034588485e-01
4.452958509942655496e+01,1.000000000000000222e+00,-3.398487970822434145e-01
4.494202662119142389e+01,9.999999999999998890e-01,-3.429965228327784277e-01
4.535828825510186135e+01,9.999999999999998890e-01,-3.461734028955429920e-01
4.577840538376618440e+01,1.000000000000000000e+00,-3.493797072886264399e-01
4.620241371751313153e+01,1.000000000000000000e+00,-3.526157085306639849e-01
4.663034929742731549e+01,1.000000000000000000e+00,-3.558816816639858160e-01
4.706224849841281355e+01,1.000000000000000000e+00,-3.591779042779810749e-01
4.749814803228499471e+01,1.000000000000000000e+00,-3.625046565326762171e-01
4.793808495089109556e+01,1.000000000000000000e+00,-3.658622211825324211e-01
4.838209664925957298e+01,9.999999999999997780e-01,-3.692508836004621542e-01
4.883022086877879531e+01,9.999999999999998890e-01,-3.726709318020691164e-01
4.928249570040513561e+01,9.999999999999998890e-01,-3.761226564701121156e-01
4.973895958790062366e+01,9.999999999999998890e-01,-3.796063509791938184e-01
5.019965133110081723e+01,1.000000000000000000e+00,-3.831223114206790958e-01
5.066461008921268672e+01,1.000000000000000000e+00,-3.866708366278434617e-01
5.113387538414325917e+01,9.999999999999998890e-01,-3.902522282012531041e-01
5.160748710385907856e+01,1.000000000000000000e+00,-3.938667905343815612e-01
5.208548550577660308e+01,1.000000000000000000e+00,-3.975148308394615415e-01
5.256791122018422158e+01,1.000000000000000000e+00,-4.011966591735760534e-01
5.305480525369573996e+01,9.999999999999998890e-01,-4.049125884649908413e-01
5.354620899273607648e+01,1.000000000000000222e+00,-4.086629345397301827e-01
5.404216420705915169e+01,1.000000000000000000e+00,-4.124480161483995988e-01
5.454271305329833552e+01,1.000000000000000000e+00,-4.162681549932539249e-01
5.504789807854970718e+01,9.999999999999998890e-01,-4.201236757555175116e-01
5.555776222398877451e+01,1.000000000000000000e+00,-4.240149061229568361e-01
5.607234882852032598e+01,1.000000000000000000e+00,-4.279421768177067986e-01
5.659170163246242424e+01,1.000000000000000222e+00,-4.319058216243557569e-01
5.711586478126432098e+01,1.000000000000000000e+00,-4.359061774182890758e-01
5.764488282925876206e+01,1.000000000000000000e+00,-4.399435841942935799e-01
5.817880074344935082e+01,1.000000000000000000e+00,-4.440183850954297906e-01
5.871766390733255747e+01,1.000000000000000000e+00,-4.481309264421664551e-01
5.926151812475552560e+01,9.999999999999998890e-01,-4.522815577617886329e-01
5.981040962380941295e+01,1.000000000000000222e+00,-4.564706318180739020e-01
6.036438506075867139e+01,9.999999999999997780e-01,-4.606985046412443996e-01
6.092349152400711887e+01,9.999999999999998890e-01,-4.649655355581966965e-01
6.148777653810022770e+01,9.999999999999997780e-01,-4.692720872230076723e-01
6.205728806776500761e+01,1.000000000000000000e+00,-4.736185256477260519e-01
6.263207452198689396e+01,1.000000000000000000e+00,-4.780052202334462152e-01
6.321218475812451487e+01,1.000000000000000000e+00,-4.824325438016678347e-01
6.379766808606282069e+01,1.000000000000000000e+00,-4.869008726259486664e-01
6.438857427240419895e+01,9.999999999999998890e-01,-4.914105864638463883e-01
6.498495354469888241e+01,9.999999999999998890e-01,-4.959620685891572012e-01
6.558685659571432325e+01,1.000000000000000222e+00,-5.005557058244521906e-01
6.619433458774395262e+01,9.999999999999998890e-01,-5.051918885739123954e-01
6.680743915695614987e+01,1.000000000000000000e+00,-5.098710108564690202e-01
6.742622241778342129e+01,9.999999999999998890e-01,-5.145934703392496257e-01
6.805073696735206568e+01,1.000000000000000000e+00,-5.193596683713314066e-01
6.868103588995303710e+01,1.000000000000000000e+00,-5.241700100178078303e-01
6.931717276155407603e+01,9.999999999999998890e-01,-5.290249040941685799e-01
6.995920165435374827e+01,1.000000000000000000e+00,-5.339247632009967992e-01
7.060717714137773271e+01,1.000000000000000000e+00,-5.388700037589888581e-01
7.126115430111745752e+01,9.999999999999996669e-01,-5.438610460442945271e-01
7.192118872221189463e+01,9.999999999999998890e-01,-5.488983142241845581e-01
7.258733650817252681e+01,1.000000000000000000e+00,-5.539822363930471116e-01
7.325965428215229736e+01,1.000000000000000000e+00,-5.591132446087172525e-01
7.393819919175865607e+01,9.999999999999998890e-01,-5.642917749291400664e-01
7.462302891391108517e+01,1.000000000000000000e+00,-5.695182674493743935e-01
7.531420165974371628e+01,1.000000000000000000e+00,-5.747931663389351797e-01
7.601177617955330845e+01,9.999999999999998890e-01,-5.801169198794827730e-01
7.671581176779302780e+01,9.999999999999998890e-01,-5.854899805028571658e-01
7.742636826811269657e+01,1.000000000000000000e+00,-5.909128048294675084e-01
7.814350607844542651e+01,9.999999999999998890e-01,-5.963858537070306776e-01
7.886728615614151749e+01,1.000000000000000000e+00,-6.019095922496706663e-01
7.959777002314986305e+01,9.999999999999998890e-01,-6.074844898773763546e-01
8.033501977124734594e+01,1.000000000000000000e+00,-6.131110203558242100e-01
8.107909806731686331e+01,9.999999999999997780e-01,-6.187896618365692492e-01
8.183006815867389605e+01,1.000000000000000000e+00,-6.245208968976035946e-01
8.258799387844267414e+01,1.000000000000000222e+00,-6.303052125842926179e-01
8.335293965098195201e+01,9.999999999999998890e-01,-6.361431004506842291e-01
8.412497049736118981e+01,9.999999999999997780e-01,-6.420350566012027471e-01
8.490415204088746748e+01,1.000000000000000000e+00,-6.479815817327251315e-01
8.569055051268347256e+01,9.999999999999998890e-01,-6.539831811770454584e-01
8.648423275731721560e+01,9.999999999999998890e-01,-6.600403649437310838e-01
8.728526623848379984e+01,1.000000000000000222e+00,-6.661536477633708264e-01
8.809371904473991322e+01,9.999999999999998890e-01,-6.723235491312269385e-01
8.890965989529158264e+01,1.000000000000000000e+00,-6.785505933512840926e-01
8.973315814583520478e+01,9.999999999999998890e-01,-6.848353095807083735e-01
9.056428379445289067e+01,1.000000000000000222e+00,-6.911782318747105025e-01
9.140310748756232329e+01,1.000000000000000000e+00,-6.975798992318283931e-01
9.224970052592173886e+01,1.000000000000000000e+00,-7.040408556396207107e-01
9.310413487069075700e+01,1.000000000000000000e+00,-7.105616501207868696e-01
9.396648314954690306e+01,1.000000000000000000e+00,-7.171428367797069159e-01
9.483681866285922979e+01,9.999999999999998890e-01,-7.237849748494128432e-01
9.571521538991865441e+01,1.000000000000000000e+00,-7.304886287389886768e-01
9.660174799522646083e+01,1.000000000000000000e+00,-7.372543680814120926e-01
9.749649183484086734e+01,9.999999999999998890e-01,-7.440827677818319108e-01
9.839952296278231358e+01,9.999999999999997780e-01,-7.509744080662920096e-01
9.931091813749794994e+01,1.000000000000000000e+00,-7.579298745309006602e-01
1.002307548283865373e+02,1.000000000000000000e+00,-7.649497581914569411e-01
1.011591112223829754e+02,9.999999999999997780e-01,-7.720346555335286798e-01
1.020960662306046487e+02,1.000000000000000000e+00,-7.791851685629935798e-01
1.030416994950587508e+02,1.000000000000000000e+00,-7.864019048570459747e-01
1.039960913954120372e+02,9.999999999999998890e-01,-7.936854776156693214e-01
1.049593230558227646e+02,1.000000000000000222e+00,-8.010365057135819811e-01
1.059314763518370057e+02,1.000000000000000000e+00,-8.084556137526672792e-01
1.069126339173476055e+02,1.000000000000000000e+00,-8.159434321148750779e-01
1.079028791516183645e+02,9.999999999999998890e-01,-8.235005970156175081e-01
1.089022962263730534e+02,1.000000000000000000e+00,-8.311277505576504243e-01
1.099109700929497251e+02,1.000000000000000222e+00,-8.388255407854513512e-01
1.109289864895222735e+02,9.999999999999997780e-01,-8.465946217400994733e-01
1.119564319483878307e+02,1.000000000000000000e+00,-8.544356535146550025e-01
1.129933938033221636e+02,9.999999999999997780e-01,-8.623493023100498034e-01
1.140399601970033103e+02,1.000000000000000000e+00,-8.703362404914911643e-01
1.150962200885032303e+02,1.000000000000000000e+00,-8.783971466453791566e-01
1.161622632608501817e+02,9.999999999999998890e-01,-8.865327056367552361e-01
1.172381803286598512e+02,1.000000000000000000e+00,-8.947436086672674316e-01
1.183240627458378071e+02,1.000000000000000000e+00,-9.030305533336747681e-01
1.194200028133532498e+02,1.000000000000000000e+00,-9.113942436868858188e-01
1.205260936870842556e+02,9.999999999999998890e-01,-9.198353902915343827e-01
1.216424293857368042e+02,1.000000000000000000e+00,-9.283547102861114952e-01
1.227691047988359117e+02,1.000000000000000000e+00,-9.369529274436387833e-01
1.239062156947915696e+02,9.999999999999998890e-01,-9.456307722329032606e-01
1.250538587290391348e+02,1.000000000000000000e+00,-9.543889818802513414e-01
1.262121314522547380e+02,1.000000000000000222e+00,-9.632283004319457387e-01
1.273811323186478432e+02,1.000000000000000222e+00,-9.721494788171032297e-01
1.285609606943296512e+02,9.999999999999998890e-01,-9.811532749112005236e-01
1.297517168657586808e+02,1.000000000000000000e+00,-9.902404536001566671e-01
1.309535020482667562e+02,1.000000000000000222e+00,-9.994117868450224096e-01
1.321664183946605249e+02,9.999999999999997780e-01,-1.008668053747234117e+00
1.333905690039058811e+02,1.000000000000000000e+00,-1.018010040614486300e+00
1.346260579298910898e+02,9.999999999999998890e-01,-1.027438541027199781e+00
1.358729901902709116e+02,1.000000000000000222e+00,-1.036954355905589154e+00
1.371314717753945729e+02,1.000000000000000000e+00,-1.046558293577363852e+00
1.384016096573131449e+02,1.000000000000000000e+00,-1.056251169846019744e+00
1.396835117988739796e+02,9.999999999999997780e-01,-1.066033808059784205e+00
1.409772871628967721e+02,1.000000000000000000e+00,-1.075907039181170033e+00
