w, module, argument
1.911090621689137947e+01,1.843751873726215074e+00,6.836142971437922711e+01
1.928791508020777812e+01,1.859609628490581867e+00,6.816580365831927679e+01
1.946656343342262119e+01,1.875581719517659618e+00,6.796849621854813961e+01
1.964686646180445706e+01,1.891668367911398807e+00,6.776949530378870179e+01
1.982883949127071332e+01,1.907869776628184688e+00,6.756878880035800705e+01
2.001249798969037030e+01,1.924186129884273067e+00,6.736636457411572110e+01
2.019785756819878486e+01,1.940617592551664883e+00,6.716221047247590548e+01
2.038493398252463251e+01,1.957164309542370972e+00,6.695631432648298187e+01
2.057374313432912771e+01,1.973826405181007271e+00,6.674866395295366317e+01
2.076430107255774615e+01,1.990603982565710695e+00,6.653924715668554768e+01
2.095662399480432825e+01,2.007497122917309973e+00,6.632805173273388277e+01
2.115072824868794754e+01,2.024505884916776299e+00,6.611506546875793333e+01
2.134663033324244452e+01,2.041630304030914278e+00,6.590027614743759443e+01
2.154434690031883193e+01,2.058870391826312929e+00,6.568367154896228044e+01
2.174389475600079891e+01,2.076226135271579398e+00,6.546523945359250263e+01
2.194529086203313639e+01,2.093697496027861149e+00,6.524496764429608220e+01
2.214855233726359174e+01,2.111284409727729905e+00,6.502284390945983716e+01
2.235369645909795366e+01,2.128986785242465096e+00,6.479885604567802204e+01
2.256074066496860198e+01,2.146804503937792319e+00,6.457299186061891305e+01
2.276970255381679920e+01,2.164737418918212253e+00,6.434523917597033460e+01
2.298059988758851091e+01,2.182785354259954680e+00,6.411558583046611659e+01
2.319345059274428777e+01,2.200948104232739677e+00,6.388401968299368150e+01
2.340827276178293204e+01,2.219225432510428586e+00,6.365052861578476495e+01
2.362508465477946373e+01,2.237617071370759270e+00,6.341510053768990929e+01
2.384390470093720538e+01,2.256122720884308652e+00,6.317772338753822936e+01
2.406475150015424092e+01,2.274742048092886826e+00,6.293838513758336006e+01
2.428764382460451543e+01,2.293474686177579880e+00,6.269707379703665850e+01
2.451260062033338727e+01,2.312320233616658616e+00,6.245377741568908903e+01
2.473964100886813000e+01,2.331278253333625372e+00,6.220848408762228132e+01
2.496878428884326695e+01,2.350348271835671188e+00,6.196118195501028936e+01
2.520004993764092305e+01,2.369529778342832849e+00,6.171185921201295344e+01
2.543345761304649599e+01,2.388822223908202425e+00,6.146050410876149073e+01
2.566902715491950460e+01,2.408225020529510818e+00,6.120710495543767138e+01
2.590677858688007618e+01,2.427737540252496551e+00,6.095165012644726232e+01
2.614673211801092023e+01,2.447359114266427937e+00,6.069412806468861987e+01
2.638890814457510459e+01,2.467089031992243608e+00,6.043452728591712741e+01
2.663332725174982230e+01,2.486926540163763910e+00,6.017283638320652983e+01
2.688001021537606050e+01,2.506870841902445690e+00,5.990904403150752700e+01
2.712897800372465795e+01,2.526921095786245353e+00,5.964313899230449323e+01
2.738025177927857712e+01,2.547076414913096443e+00,5.937511011837080588e+01
2.763385290053169996e+01,2.567335865959619934e+00,5.910494635862357882e+01
2.788980292380441028e+01,2.587698468235685390e+00,5.883263676307764456e+01
2.814812360507579925e+01,2.608163192735454050e+00,5.855817048790015633e+01
2.840883690183302690e+01,2.628728961185625490e+00,5.828153680056510666e+01
2.867196497493769769e+01,2.649394645091581513e+00,5.800272508510884251e+01
2.893753019050950215e+01,2.670159064782207103e+00,5.772172484748622878e+01
2.920555512182746583e+01,2.691020988454187357e+00,5.743852572102796472e+01
2.947606255124857100e+01,2.711979131216598393e+00,5.715311747199864101e+01
2.974907547214440484e+01,2.733032154136696423e+00,5.686549000525574371e+01
3.002461709085549302e+01,2.754178663287783380e+00,5.657563337000959081e+01
3.030271082866396171e+01,2.775417208800146529e+00,5.628353776568328470e+01
3.058338032378433269e+01,2.796746283916025089e+00,5.598919354787312841e+01
3.086664943337272859e+01,2.818164324049664327e+00,5.569259123440838266e+01
3.115254223555487911e+01,2.839669705853535397e+00,5.539372151151008694e+01
3.144108303147264749e+01,2.861260746291829360e+00,5.509257524004823381e+01
